Date,Time_Spent,Number of People,Activity,Category,Productivity
2013-12-23T09:00:00,247,1,nbillpay.verizonwireless.com,Administration,2
2013-12-21T09:00:00,15,1,newtab,Browsers,0
2013-12-21T10:00:00,28,1,newtab,Browsers,0
2013-12-21T15:00:00,17,1,newtab,Browsers,0
2013-12-21T16:00:00,21,1,newtab,Browsers,0
2013-12-22T11:00:00,14,1,newtab,Browsers,0
2013-12-22T12:00:00,23,1,newtab,Browsers,0
2013-12-22T13:00:00,18,1,newtab,Browsers,0
2013-12-22T14:00:00,206,1,newtab,Browsers,0
2013-12-22T15:00:00,20,1,newtab,Browsers,0
2013-12-22T16:00:00,14,1,newtab,Browsers,0
2013-12-22T17:00:00,9,1,newtab,Browsers,0
2013-12-22T18:00:00,2,1,newtab,Browsers,0
2013-12-22T21:00:00,34,1,newtab,Browsers,0
2013-12-22T22:00:00,22,1,newtab,Browsers,0
2013-12-22T23:00:00,5,1,newtab,Browsers,0
2013-12-23T09:00:00,50,1,newtab,Browsers,0
2013-12-23T10:00:00,14,1,newtab,Browsers,0
2013-12-23T12:00:00,16,1,newtab,Browsers,0
2013-12-23T15:00:00,25,1,newtab,Browsers,0
2013-12-23T16:00:00,22,1,newtab,Browsers,0
2013-12-23T17:00:00,28,1,newtab,Browsers,0
2013-12-23T18:00:00,16,1,newtab,Browsers,0
2013-12-23T19:00:00,15,1,newtab,Browsers,0
2013-12-23T23:00:00,18,1,newtab,Browsers,0
2013-12-24T09:00:00,8,1,newtab,Browsers,0
2013-12-24T14:00:00,12,1,newtab,Browsers,0
2013-12-24T15:00:00,2,1,newtab,Browsers,0
2013-12-24T16:00:00,544,1,Firefox,Browsers,0
2013-12-24T16:00:00,3,1,newtab,Browsers,0
2013-12-24T18:00:00,4,1,newtab,Browsers,0
2013-12-24T20:00:00,10,1,newtab,Browsers,0
2013-12-25T01:00:00,199,1,newtab,Browsers,0
2013-12-25T10:00:00,20,1,Firefox,Browsers,0
2013-12-25T10:00:00,4,1,Safari,Browsers,0
2013-12-25T13:00:00,200,1,newtab,Browsers,0
2013-12-25T13:00:00,187,1,Firefox,Browsers,0
2013-12-25T13:00:00,146,1,Safari,Browsers,0
2013-12-25T16:00:00,472,1,Safari,Browsers,0
2013-12-25T17:00:00,103,1,newtab,Browsers,0
2013-12-25T18:00:00,146,1,newtab,Browsers,0
2013-12-25T19:00:00,2822,1,newtab,Browsers,0
2013-12-26T09:00:00,105,1,newtab,Browsers,0
2013-12-26T10:00:00,601,1,newtab,Browsers,0
2013-12-26T18:00:00,43,1,Firefox,Browsers,0
2013-12-28T23:00:00,535,1,newtab,Browsers,0
2013-12-29T10:00:00,937,1,newtab,Browsers,0
2013-12-29T13:00:00,589,1,newtab,Browsers,0
2013-12-30T12:00:00,97,1,Firefox,Browsers,0
2013-12-30T13:00:00,111,1,Firefox,Browsers,0
2013-12-30T22:00:00,7,1,Firefox,Browsers,0
2013-12-30T23:00:00,11,1,Firefox,Browsers,0
2014-01-01T19:00:00,442,1,newtab,Browsers,0
2014-01-02T11:00:00,1102,1,newtab,Browsers,0
2014-01-02T12:00:00,172,1,newtab,Browsers,0
2014-01-02T15:00:00,22,1,newtab,Browsers,0
2014-01-02T23:00:00,276,1,newtab,Browsers,0
2014-01-03T00:00:00,44,1,newtab,Browsers,0
2014-01-03T13:00:00,631,1,newtab,Browsers,0
2014-01-03T15:00:00,95,1,newtab,Browsers,0
2014-01-04T11:00:00,50,1,newtab,Browsers,0
2014-01-04T16:00:00,55,1,newtab,Browsers,0
2014-01-05T11:00:00,131,1,newtab,Browsers,0
2014-01-05T12:00:00,354,1,newtab,Browsers,0
2014-01-05T16:00:00,1338,1,newtab,Browsers,0
